"Year","S&P 500","UPRO","3X UPRO","4X UPRO","5X UPRO","6X UPRO","","","",""
"2017","21.93","71.37","182.31","230.68","270.35","309.4200000000001","","","",""
"2016","11.93","30.78","60.54","68.32000000000001","67.40000000000001","65.88","","","",""
"2015","1.31","-5.25","-47.55","-75.8","-112.75","-150.3","","","",""
"2014","13.81","38","82.19999999999999","97.2","103.5","109.2","","","",""
"2013","32.43","118.49","323.67","419.16","505.95","592.14","","","",""
"2012","15.88","46.8","108.6","132.4","147.5","162","","","",""
"2011","2.07","-11.88","-67.44","-102.32","-145.9","-190.08","","","",""
"2010","14.87","36.34","77.22","90.56000000000002","95.20000000000002","99.24000000000001","","","",""
"2009","27.11","81.33","212.19","270.52","320.15","369.18","","","",""
"2008","-37.22","-111.66","-366.78","-501.44","-644.8000000000001","-788.76","","","",""
"2007","5.46","16.38","17.34","10.72","-4.600000000000009","-20.52000000000001","","","",""
"2006","15.74","47.22","109.86","134.08","149.6","164.52","","","",""
"2005","4.79","14.37","11.31","2.680000000000007","-14.65","-32.58","","","",""
"2004","10.82","32.46","65.58","75.04000000000001","75.8","75.96000000000001","","","",""
"2003","28.72","86.16","226.68","289.84","344.3","398.16","","","",""
"2002","-22.27","-66.81","-232.23","-322.04","-420.55","-519.66","","","",""
"2001","-11.98","-35.94","-139.62","-198.56","-266.2","-334.4399999999999","","","",""
"2000","-9.109999999999999","-27.33","-113.79","-164.12","-223.15","-282.78","","","",""
"1999","21.11","63.33","158.19","198.52","230.15","261.18","","","",""
"1998","28.73","86.19","226.77","289.96","344.45","398.34","","","",""
"1997","33.67","101.01","271.23","349.24","418.5500000000001","487.26","","","",""
"1996","23.06","69.17999999999999","175.74","221.92","259.4","296.28","","","",""
"1995","38.02","114.06","310.38","401.44","483.8","565.5600000000001","","","",""
"1994","1.19","3.57","-21.09","-40.52","-68.65000000000001","-97.38","","","",""
"1993","10.17","30.51","59.72999999999999","67.23999999999999","66.04999999999998","64.25999999999999","","","",""
"1992","7.6","22.8","36.59999999999999","36.39999999999999","27.49999999999998","17.99999999999998","","","",""
"1991","30.95","92.84999999999999","246.75","316.6","377.75","438.3","","","",""
"1990","-3.42","-10.26","-62.58","-95.84","-137.8","-180.36","","","",""
"1989","32","96","256.2","329.2","393.5","457.2","","","",""
"1988","16.64","49.92","117.96","144.88","163.1","180.72","","","",""
"1987","5.69","17.07","19.41","13.48","-1.150000000000002","-16.38","","","",""
"1986","19.06","57.17999999999999","139.74","173.92","199.4","224.28","","","",""
"1985","32.24","96.72","258.36","332.08","397.1","461.52","","","",""
"1984","5.96","17.88","21.84","16.72","2.899999999999991","-11.52000000000001","","","",""
"1983","23.13","69.39","176.37","222.76","260.45","297.54","","","",""
"1982","21.22","63.66","159.18","199.84","231.8","263.16","","","",""
"1981","-5.33","-15.99","-79.77","-118.76","-166.45","-214.74","","","",""
"1980","32.76","98.28","263.04","338.32","404.9","470.88","","","",""
"1979","18.69","56.07000000000001","136.41","169.48","193.8500000000001","217.6200000000001","","","",""
"1978","6.41","19.23","25.89","22.12","9.649999999999999","-3.420000000000002","","","",""
"1977","-7.78","-23.34","-101.82","-148.16","-203.2","-258.84","","","",""
"1976","24.2","72.59999999999999","186","235.6","276.5","316.8","","","",""
"1975","38.46","115.38","314.34","406.72","490.4","573.48","","","",""
"1974","-26.95","-80.84999999999999","-274.35","-378.2","-490.7499999999999","-603.9","","","",""
"1973","-15.03","-45.09","-167.07","-235.16","-311.95","-389.34","","","",""
"1972","19.15","57.45","140.55","175","200.7499999999999","225.8999999999999","","","",""
"1971","14.54","43.62","99.05999999999999","119.68","131.6","142.92","","","",""
"1970","3.6","10.8","0.6000000000000032","-11.59999999999999","-32.5","-54","","","",""
"1969","-8.630000000000001","-25.89","-109.47","-158.36","-215.95","-274.14","","","",""
"1968","11.03","33.09","67.46999999999998","77.55999999999999","78.94999999999997","79.73999999999998","","","",""
"1967","24.45","73.34999999999999","188.25","238.6","280.25","321.3","","","",""
"1966","-10.36","-31.08","-125.04","-179.12","-241.9","-305.28","","","",""
"1965","12.45","37.34999999999999","80.24999999999997","94.59999999999998","100.25","105.3","","","",""
"1964","16.59","49.77","117.51","144.28","162.35","179.82","","","",""
"1963","23.04","69.12","175.56","221.68","259.1","295.9200000000001","","","",""
"1962","-9.199999999999999","-27.6","-114.6","-165.2","-224.5","-284.4","","","",""
"1961","28.51","85.53","224.79","287.32","341.15","394.38","","","",""
"1960","-0.74","-2.22","-38.46","-63.67999999999999","-97.59999999999999","-132.12","","","",""
"1959","11.59","34.77","72.50999999999999","84.27999999999999","87.34999999999998","89.81999999999996","","","",""
"1958","43.4","130.2","358.8","465.9999999999999","564.5","662.4","","","",""
"1957","-9.300000000000001","-27.9","-115.5","-166.4","-226","-286.2","","","",""
"1956","6.38","19.14","25.62","21.76000000000001","9.199999999999999","-3.960000000000001","","","",""
"1955","28.22","84.66","222.18","283.84","336.8","389.16","","","",""
"1954","55.99","167.97","472.11","617.08","753.3499999999999","889.02","","","",""
"1953","-0.8","-2.4","-39","-64.40000000000001","-98.50000000000001","-133.2","","","",""
"1952","18.35","55.05","133.35","165.4","188.75","211.5","","","",""
"1951","23.1","69.30000000000001","176.1","222.4","260.0000000000001","297.0000000000001","","","",""
"1950","34.28","102.84","276.72","356.56","427.7","498.24","","","",""
"1949","15.96","47.88","111.84","136.72","152.9","168.48","","","",""
"1948","9.51","28.53","53.79","59.32000000000001","56.15000000000001","52.38","","","",""
"1947","2.56","7.68","-8.76","-24.08","-48.10000000000001","-72.72","","","",""
"1946","-12.05","-36.15000000000001","-140.25","-199.4","-267.25","-335.7","","","",""
"1945","39.35","118.05","322.35","417.4","503.7500000000001","589.5000000000001","","","",""
"1944","19.67","59.01000000000001","145.23","181.24","208.55","235.26","","","",""
"1943","23.6","70.80000000000001","180.6","228.4","267.5000000000001","306.0000000000001","","","",""
"1942","21.74","65.22","163.86","206.08","239.6","272.52","","","",""
"1941","-9.09","-27.27","-113.61","-163.88","-222.85","-282.42","","","",""
"1940","-8.91","-26.73","-111.99","-161.72","-220.15","-279.18","","","",""
"1939","2.98","8.94","-4.98","-19.04","-41.8","-65.16000000000001","","","",""
"1938","17.5","52.5","125.7","155.2","176","196.2","","","",""
"1937","-32.11","-96.33","-320.79","-440.12","-568.15","-696.78","","","",""
"1936","32.55","97.64999999999999","261.15","335.8","401.75","467.1","","","",""
"1935","54.93","164.79","462.57","604.36","737.4499999999999","869.9399999999998","","","",""
"1934","-8.01","-24.03","-103.89","-150.92","-206.65","-262.98","","","",""
"1933","56.79","170.37","479.3100000000001","626.6800000000001","765.3499999999999","903.42","","","",""
"1932","-5.81","-17.43","-84.09","-124.52","-173.65","-223.38","","","",""
"1931","-44.2","-132.6","-429.6","-585.2","-749.5000000000002","-914.4000000000002","","","",""
"1930","-22.72","-68.16","-236.28","-327.44","-427.3","-527.76","","","",""
"1929","-9.460000000000001","-28.38","-116.94","-168.32","-228.4","-289.08","","","",""
"1928","47.57","142.71","396.33","516.0400000000001","627.0500000000001","737.46","","","",""
"1927","37.1","111.3","302.1","390.4","470.0000000000001","549.0000000000001","","","",""
